"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance","Overlap_years","Perc_interval_covered"
"688160_99999","CAPE TOWN INTL","SF",-33.965,18.602,19490101,20221215,19.61,3,100
"689990_99999","CT-AWS","SF",-33.967,18.6,20041102,20221215,19.81,2.16,72.03
"689110_99999","STRAND","SF",-34.15,18.85,20040525,20220328,21.66,2.6,86.73
"689250_99999","ELGIN EXP FARM","SF",-34.139,19.023,19980301,20221215,27.93,3,100
"688270_99999","YSTERPLANT(SAAFB)","SF",-33.9,18.5,20040224,20201230,29.71,2.85,95.03
"687130_99999","PAARL","SF",-33.717,18.967,20040608,20221215,30.15,2.56,85.45
"688170_99999","CAPE TOWN - PORTNET","SF",-33.9,18.433,19980301,20221215,35.79,3,100
"688190_99999","MOLTENO RESERVIOR","SF",-33.933,18.417,20131210,20221215,36.8,0,0
"689140_99999","SIMONSTOWN","SF",-34.2,18.433,19490101,19500625,44.31,0,0
"688130_99999","ROBBEN ISLAND","SF",-33.8,18.367,20041005,20221215,44.87,2.24,74.59
"689120_99999","SLANGKOP","SF",-34.15,18.317,19980301,20221215,50.63,3,100
"689150_99999","CAPE POINT (AUTO)","SF",-34.35,18.5,20041102,20060608,52.33,1.6,53.28
"689160_99999","CAPE POINT","SF",-34.35,18.5,19730101,20221215,52.33,3,100
"687150_99999","MALMESBURY","SF",-33.467,18.717,19970701,20221215,55.09,3,100
"689180_99999","HERMANUS","SF",-34.433,19.217,19980301,20221215,64.56,3,100
"688210_99999","WORCESTER","SF",-33.617,19.467,19980301,20221212,71.27,3,100
"688140_99999","DASSEN ISLAND","SF",-33.433,18.083,19980301,20120919,89.28,3,100
"687180_99999","ROBERTSON","SF",-33.8,19.9,19730101,20221215,101.97,3,100
"689230_99999","TIGERHOEK","SF",-34.15,19.9,20040726,20221215,102.53,2.43,81.07
"687170_99999","PORTERVILLE","SF",-33.013,18.977,19980301,20221215,105.79,3,100
"688110_99999","GEELBEK","SF",-33.2,18.117,20040501,20221215,106,2.67,88.92
"688150_99999","LANGEBAAN","SF",-33.083,18.017,19970701,20201229,121.98,3,100
"687140_99999","LANGEBAANWEG AFB","SF",-32.969,18.16,19730801,20221215,125.32,3,100
"687190_99999","EXCELSIOR","SF",-32.95,19.433,20040423,20221215,125.64,2.69,89.65
"682513_99999","BREDASDORP","SF",-34.533,20.033,19880202,19891002,129.2,0,0
